state_name;Abbreviation;state_id;Latitude;Longitude
Alabama;AL;1;32.318230;-86.902298
Alaska;AK;2;66.160507;-153.369141
Arizona;AZ;3;34.048927;-111.093735
Arkansas;AR;4;34.799999;-92.199997
California;CA;5;36.778259;-119.417931
Colorado;CO;6;39.113014;-105.358887
Connecticut;CT;7;41.599998;-72.699997
Delaware;DE;8;39.000000;-75.500000
Florida;FL;9;27.994402;-81.760254
Georgia;GA;10;33.247875;-83.441162
Hawaii;HI;11;19.741755;-155.844437
Idaho;ID;12;44.068203;-114.742043
Illinois;IL;13;40.000000;-89.000000
Indiana;IN;14;40.273502;-86.126976
Iowa;IA;15;42.032974;-93.581543
Kansas;KS;16;38.500000;-98.000000
Kentucky;KY;17;37.839333;-84.270020
Louisiana;LA;18;30.391830;-92.329102
Maine;ME;19;45.367584;-68.972168
Maryland;MD;20;39.045753;-76.641273
Massachusetts;MA;21;42.407211;-71.382439
Michigan;MI;22;44.182205;-84.506836
Minnesota;MN;23;46.392410;-94.636230
Mississippi;MS;24;33.000000;-90.000000
Missouri;MO;25;38.573936;-92.603760
Montana;MT;26;46.965260;-109.533691
Nebraska;NE;27;41.500000;-100.000000
Nevada;NV;28;39.876019;-117.224121
New Hampshire;NH;29;44.000000;-71.500000
New Jersey;NJ;30;39.833851;-74.871826
New Mexico;NM;31;34.307144;-106.018066
New York;NY;32;43.000000;-75.000000
North Carolina;NC;33;35.782169;-80.793457
North Dakota;ND;34;47.650589;-100.437012
Ohio;OH;35;40.367474;-82.996216
Oklahoma;OK;36;36.084621;-96.921387
Oregon;OR;37;44.000000;-120.500000
Pennsylvania;PA;38;41.203323;-77.194527
Rhode Island;RI;39;41.742325;-71.742332
South Carolina;SC;40;33.836082;-81.163727
South Dakota;SD;41;44.500000;-100.000000
Tennessee;TN;42;35.860119;-86.660156
Texas;TX;43;31.000000;-100.000000
Utah;UT;44;39.419220;-111.950684
Vermont;VT;45;44.000000;-72.699997
Virginia;VA;46;37.926868;-78.024902
Washington;WA;47;47.751076;-120.740135
West Virginia;WV;48;39.000000;-80.500000
Wisconsin;WI;49;44.500000;-89.500000
Wyoming;WY;50;43.075970;-107.290283
