,state,total_offer,remote_offer,remote_share,remote_quartile
0,AK,217,17,7.83,4.0
1,AL,1056,61,5.78,3.0
2,AR,686,32,4.66,2.0
3,AZ,2585,157,6.07,3.0
4,CA,12184,921,7.56,4.0
5,CO,2401,159,6.62,4.0
6,CT,1234,78,6.32,4.0
7,DC,1039,105,10.11,4.0
8,DE,331,12,3.63,1.0
9,FL,6198,372,6.0,3.0
10,GA,3535,209,5.91,3.0
11,HI,445,15,3.37,1.0
12,IA,1009,40,3.96,2.0
13,ID,424,26,6.13,3.0
14,IL,4670,332,7.11,4.0
15,IN,1882,90,4.78,2.0
16,KS,966,48,4.97,2.0
17,KY,1207,45,3.73,1.0
18,LA,1128,29,2.57,1.0
19,MA,3632,224,6.17,4.0
20,MD,2041,119,5.83,3.0
21,ME,393,16,4.07,2.0
22,MI,2929,116,3.96,2.0
23,MN,1920,89,4.64,2.0
24,MO,1988,106,5.33,2.0
25,MS,402,15,3.73,1.0
26,MT,255,10,3.92,1.0
27,NC,5153,238,4.62,2.0
28,ND,242,8,3.31,1.0
29,NE,613,22,3.59,1.0
30,NH,581,21,3.61,1.0
31,NJ,3495,257,7.35,4.0
32,NM,511,16,3.13,1.0
33,NV,926,44,4.75,2.0
34,NY,6774,394,5.82,3.0
35,OH,3665,204,5.57,3.0
36,OK,835,42,5.03,2.0
37,ON,1,0,0.0,1.0
38,OR,1296,75,5.79,3.0
39,Other,5242,733,13.98,4.0
40,PA,4283,231,5.39,3.0
41,QC,1,0,0.0,1.0
42,RI,321,25,7.79,4.0
43,SC,1684,66,3.92,1.0
44,SD,176,9,5.11,2.0
45,TN,1944,105,5.4,3.0
46,TX,10965,674,6.15,3.0
47,UT,1007,56,5.56,3.0
48,United States,8126,8011,98.58,4.0
49,VA,3781,234,6.19,4.0
50,VT,184,13,7.07,4.0
51,WA,2807,192,6.84,4.0
52,WI,1917,107,5.58,3.0
53,WV,431,20,4.64,2.0
54,WY,131,6,4.58,2.0
